file,active_slots,request_index,repeat,gpu_count,gpu_models,cuda_visible_devices,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_000256.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",268,128,4080.915,65.67154669969848,9857.237,12.985383226557301,18393.672943115234
ctx_000512.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",541,128,6838.325,79.11294066895037,9495.546,13.48000420407631,18269.991159439087
ctx_001024.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",1082,128,12304.308,87.93668038868988,11043.761,11.590254443210062,25402.312994003296
ctx_002048.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",2330,128,34220.691,68.08746205621622,12053.063,10.619707206375674,48536.95893287659
ctx_004096.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",4288,128,68789.746,62.33487182813555,12127.725,10.554329027084634,84159.92975234985
ctx_008192.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",8853,128,129762.039,68.22488355011129,11695.264,10.944601165052795,159459.88059043884
ctx_016384.txt,1,1,1,7,NVIDIA P104-100 x7,"0,1,2,3,4,5,6",17670,128,320364.246,55.155967685607465,13767.399,9.297326241507202,339721.01306915283
