file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,255,128,2239.945,113.84208094395174,4437.883,28.842581023429414,7135.605335235596
ctx_002_000512.txt,504,128,2389.708,210.9044284908449,4266.41,30.001804796069763,7088.090419769287
ctx_003_001024.txt,1017,128,4372.579,232.5858492207917,4267.589,29.993516245355398,9296.266078948975
ctx_004_002048.txt,2044,128,8477.031,241.1221570382366,4359.909,29.358410920961884,13597.677230834961
ctx_005_004096.txt,4076,128,17275.548,235.94041705652407,4601.441,27.817372862109934,22843.188524246216
ctx_006_006144.txt,6142,128,27119.481,226.4792604253747,4530.057,28.25571510468853,32909.1215133667
ctx_007_008192.txt,8164,128,37634.154,216.93061042371244,4813.25,26.593258193528282,44078.50217819214
ctx_008_012288.txt,12280,128,62486.044,196.5238829969777,4769.218,26.8387815360925,69302.35075950623
ctx_009_016384.txt,16373,128,90569.995,180.77730930646513,4963.28,25.789397334021054,98344.70009803772
ctx_010_024576.txt,24560,128,158368.508,155.0813372567733,5310.435,24.103486814168704,167479.22921180725
ctx_011_032768.txt,32761,128,239926.458,136.54600777709976,5793.525,22.093630389098177,250947.4196434021
ctx_012_065536.txt,64423,128,701186.721,91.87709645744988,7105.714,18.013671813979567,715334.4793319702
