file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,2784,128,1721.237,1617.441409869762,1347.094,95.0193527697399,3094.5358276367188
ctx_002_000512.txt,255,128,370.091,689.019727580514,1308.012,97.85842943336911,1835.5484008789062
ctx_003_001024.txt,504,128,456.508,1104.033226142806,1313.919,97.41848622327555,1809.1933727264404
ctx_004_002048.txt,1017,128,798.805,1273.1517704571204,1326.151,96.51992872606513,2191.5485858917236
ctx_005_004096.txt,2044,128,1382.513,1478.4671102550212,1331.845,96.10727975102208,2872.2612857818604
ctx_006_006144.txt,4076,128,1878.74,2169.539159223735,1358.085,94.25035988174525,3429.33988571167
ctx_007_008192.txt,6142,128,2501.863,2454.9705559417125,1376.051,93.0198081321114,4095.641613006592
ctx_008_012288.txt,8164,128,3082.901,2648.1550980715892,1398.083,91.55393492374915,4788.155555725098
ctx_009_016384.txt,12280,82,4446.837,2761.5134082944796,921.528,88.98264621367989,5720.726728439331
ctx_010_024576.txt,16373,128,5935.679,2758.403882689748,1485.456,86.16882627287514,7916.921138763428
ctx_011_032768.txt,24560,128,10176.379,2413.432125513407,1571.675,81.44177390363784,12394.937515258789
ctx_012_065536.txt,32761,128,14028.09,2335.3856440898226,1658.973,77.1561683041255,16605.611562728882
