file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,255,128,2044.907,124.700047483822,4446.754,28.78504185300109,6914.372682571411
ctx_002_000512.txt,504,128,1941.867,259.5440367440201,4265.518,30.008078737447597,6571.42186164856
ctx_003_001024.txt,1017,128,2506.624,405.7249910636777,4293.193,29.814639127567755,7312.2687339782715
ctx_004_002048.txt,2044,128,4550.165,449.2144790353757,4372.573,29.273382056743248,9602.575302124023
ctx_005_004096.txt,4076,128,9311.864,437.7211694672517,4495.048,28.47578045885161,14641.47138595581
ctx_006_006144.txt,6142,128,14072.196,436.46350576697483,4774.472,26.80924717958342,19961.986303329468
ctx_007_008192.txt,8164,128,19586.751,416.812364643835,4844.695,26.420651867661434,25957.717180252075
ctx_008_012288.txt,12280,128,33214.76,369.71515073419164,5047.168,25.36075676498187,40174.32999610901
ctx_009_016384.txt,16373,128,47458.414,344.9967797069662,5256.262,24.351906354744113,55394.5529460907
ctx_010_024576.txt,24560,128,84875.122,289.3662998210477,5594.382,22.880096496806978,94131.26993179321
ctx_011_032768.txt,32761,128,125105.141,261.8677357151933,6032.565,21.218171706396866,136205.7523727417
ctx_012_065536.txt,64423,128,428164.06,150.46335276249016,7507.452,17.04972605885459,442568.51172447205
