file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,255,128,3546.524,71.90138851450041,4537.08,28.211977747802553,8535.200357437134
ctx_002_000512.txt,504,128,5786.581,87.09806360612596,4584.458,27.920421563465084,10759.392261505127
ctx_003_001024.txt,1017,128,10984.963,92.58110382347215,4618.081,27.71714051789044,16232.96594619751
ctx_004_002048.txt,2044,128,22628.331,90.32924257648521,4666.713,27.428299104744603,27956.08377456665
ctx_005_004096.txt,4076,128,45610.072,89.36622595114518,4755.024,26.918896729017558,51288.16866874695
ctx_006_006144.txt,6142,128,71609.996,85.77014862561926,4856.597,26.35590311487653,77626.21760368347
ctx_007_008192.txt,8164,128,96078.561,84.97213025494834,4951.647,25.849984863622144,102584.22303199768
ctx_008_012288.txt,12280,128,154191.153,79.6414045882386,5156.228,24.824348341462013,161261.88921928406
ctx_009_016384.txt,16373,128,213419.014,76.71762554389835,5343.615,23.953821523444336,221515.81239700317
ctx_010_024576.txt,24560,128,346628.266,70.85400242575716,5692.911,22.484103475357333,355912.9796028137
ctx_011_032768.txt,32761,128,480363.317,68.20046169345609,6021.621,21.256734689878357,491483.0553531647
ctx_012_065536.txt,64423,62,1159884.702,55.54258961163538,3484.977,17.790648259658532,1170287.0919704437
