file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,2784,128,1525.186,1825.3511375006067,1321.91,96.82958749082766,2874.359130859375
ctx_002_000512.txt,255,128,237.375,1074.2496050552922,1274.052,100.46685692577698,1521.2249755859375
ctx_003_001024.txt,504,128,310.777,1621.741634676955,1281.069,99.91655406539383,1628.0834674835205
ctx_004_002048.txt,1017,128,573.101,1774.556317298347,1294.806,98.85650823366589,1925.2660274505615
ctx_005_004096.txt,2044,128,999.748,2044.5152178348942,1308.711,97.80616194102441,2500.234603881836
ctx_006_006144.txt,4076,128,1969.144,2069.934956509021,1339.503,95.55783003098911,3450.479745864868
ctx_007_008192.txt,6142,128,2863.544,2144.8945781870298,1372.936,93.23085708292302,4436.780214309692
ctx_008_012288.txt,8164,128,3886.063,2100.8408767433775,1373.984,93.15974567389432,5518.650531768799
ctx_009_016384.txt,12280,128,5952.267,2063.0794955938636,1417.618,90.29230723650518,7702.379941940308
ctx_010_024576.txt,16373,128,8214.101,1993.279605400518,1465.485,87.34309801874466,10084.009170532227
ctx_011_032768.txt,24560,128,13010.908,1887.646888287889,1558.233,82.14432629780013,15122.287034988403
ctx_012_065536.txt,32761,128,18059.931,1814.0157899828077,1651.632,77.49910391661096,20372.24531173706
