file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,2784,128,1435.851,1938.9198461400242,1342.526,95.34266003042026,2805.676221847534
ctx_002_000512.txt,255,128,244.589,1042.5652829849257,1297.607,98.64311767738614,1687.6771450042725
ctx_003_001024.txt,504,128,312.439,1613.1148800245808,1300.725,98.4066578254435,1650.1283645629883
ctx_004_002048.txt,1017,128,576.32,1764.64464186563,1313.776,97.42908989051405,1956.8891525268555
ctx_005_004096.txt,2044,128,1010.785,2022.1906735853818,1328.434,96.35405296762956,2453.352689743042
ctx_006_006144.txt,4076,128,1281.851,3179.7767447230603,1358.554,94.21782277333105,2819.791078567505
ctx_007_008192.txt,6142,128,1674.454,3668.0613501475705,1392.105,91.94708732459118,3285.111665725708
ctx_008_012288.txt,8164,101,1985.702,4111.3923438663005,1099.157,91.88860190127525,3382.6160430908203
ctx_009_016384.txt,12280,128,2777.579,4421.116375087801,1437.542,89.04087671873239,4583.123445510864
ctx_010_024576.txt,16373,128,3737.892,4380.276369675743,1484.073,86.24912655913826,5674.71718788147
ctx_011_032768.txt,24560,128,6666.492,3684.096523328911,1579.237,81.05179906499151,8857.227325439453
ctx_012_065536.txt,32761,79,9751.77,3359.492686968622,1030.278,76.67833342068839,11608.091354370117
