file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,2784,128,1569.717,1773.5681017661143,1342.312,95.3578601696178,2938.6496543884277
ctx_002_000512.txt,255,128,245.576,1038.3750855132425,1296.859,98.70001287726731,1692.847490310669
ctx_003_001024.txt,504,128,313.198,1609.205678197179,1300.497,98.42391024354535,1654.5281410217285
ctx_004_002048.txt,1017,128,577.324,1761.5758222419302,1313.539,97.44666888459345,1957.9436779022217
ctx_005_004096.txt,2044,128,1011.428,2020.9050965565516,1327.903,96.39258289197328,2454.425573348999
ctx_006_006144.txt,4076,128,1991.709,2046.483698170767,1358.074,94.25112328194191,3534.3897342681885
ctx_007_008192.txt,6142,128,2894.121,2122.233313672787,1392.127,91.94563427043654,4492.279529571533
ctx_008_012288.txt,8164,128,3932.428,2076.071068561205,1394.277,91.80385246260248,5633.047819137573
ctx_009_016384.txt,12280,128,6035.21,2034.7262149950043,1437.221,89.06076379345974,7842.283487319946
ctx_010_024576.txt,16373,128,8340.135,1963.157670709167,1485.054,86.19215193521582,10309.569597244263
ctx_011_032768.txt,24560,128,13254.335,1852.9786669795205,1579.421,81.04235666108023,15439.237833023071
ctx_012_065536.txt,32761,128,18447.071,1775.9458940663264,1673.007,76.50894467267621,20960.627794265747
